organization_name,user_given_name,user_family_name,user_shortcode,user_email,user_phone,user_date_of_birth,user_gender,organization_role_name,school_name,school_role_name,class_name
Lorena Bettoni,LoreTest1,CSV,EIRO298,lorenatest@test.com,,01-1984,Male,Student,,,
Lorena Bettoni,LoreTest2,CSV,EIRO299,lorenatest@test.com,,01-1984,Female,Parent,,,
Lorena Bettoni,LoreTest3,CSV,EIRO300,lorenatest@test.com,,01-1985,Female,Teacher,,,
Lorena Bettoni,LoreTest4,CSV,EIRO301,lorenatest@test.com,,01-1986,Female,School Admin,,,
Lorena Bettoni,LoreTest5,CSV,EIRO302,lorenatest@test.com,,01-1987,Female,Organization Admin,,,
Lorena Bettoni,LoreTest6,CSV,EIRO303,lorenatest@test.com,,01-1988,Male,Student,,,
Lorena Bettoni,LoreTest7,CSV,EIRO304,lorenatest@test.com,,01-1989,Male,Teacher,,,
Lorena Bettoni,LoreTest8,CSV,EIRO305,lorenatest@test.com,,01-1990,Male,Student,,,
Lorena Bettoni,LoreTest9,CSV,EIRO306,lorenatest@test.com,,01-1991,Female,Parent,,,
Lorena Bettoni,LoreTest10,CSV,EIRO307,lorenatest@test.com,,01-1992,Male,Teacher,,,
Lorena Bettoni,LoreTest11,CSV,EIRO308,lorenatest@test.com,,01-1993,Male,Organization Admin,,,
Lorena Bettoni,LoreTest12,CSV,EIRO309,lorenatest@test.com,,01-1994,Male,Teacher,,,
Lorena Bettoni,LoreTest13,CSV,EIRO310,lorenatest@test.com,,01-1995,Male,Parent,,,
Lorena Bettoni,LoreTest14,CSV,EIRO311,lorenatest@test.com,,01-1996,Male,Organization Admin,,,
Lorena Bettoni,LoreTest15,CSV,EIRO312,lorenatest@test.com,,01-1997,Male,Student,,,
Lorena Bettoni,LoreTest16,CSV,EIRO313,lorenatest@test.com,,01-1998,Female,Parent,,,
Lorena Bettoni,LoreTest17,CSV,EIRO314,lorenatest@test.com,,01-1999,Female,Teacher,,,
Lorena Bettoni,LoreTest18,CSV,EIRO315,lorenatest@test.com,,01-2000,Female,School Admin,,,
Lorena Bettoni,LoreTest19,CSV,EIRO316,lorenatest@test.com,,01-2001,Female,Organization Admin,,,
Lorena Bettoni,LoreTest20,CSV,EIRO317,lorenatest@test.com,,01-2002,Male,Student,,,
Lorena Bettoni,LoreTest21,CSV,EIRO318,lorenatest@test.com,,01-2003,Male,Teacher,,,
Lorena Bettoni,LoreTest22,CSV,EIRO319,lorenatest@test.com,,01-2004,Male,Student,,,
Lorena Bettoni,LoreTest23,CSV,EIRO320,lorenatest@test.com,,01-2005,Female,Parent,,,
Lorena Bettoni,LoreTest24,CSV,EIRO321,lorenatest@test.com,,01-2006,Male,Teacher,,,
Lorena Bettoni,LoreTest25,CSV,EIRO322,lorenatest@test.com,,01-2007,Male,Organization Admin,,,
Lorena Bettoni,LoreTest26,CSV,EIRO323,lorenatest@test.com,,01-2008,Male,Teacher,,,
Lorena Bettoni,LoreTest27,CSV,EIRO324,lorenatest@test.com,,01-2009,Male,Parent,,,
Lorena Bettoni,LoreTest28,CSV,EIRO325,lorenatest@test.com,,01-2010,Male,Organization Admin,,,
Lorena Bettoni,LoreTest29,CSV,EIRO326,lorenatest@test.com,,01-2011,Male,Student,,,
Lorena Bettoni,LoreTest30,CSV,EIRO327,lorenatest@test.com,,01-2012,Female,Parent,,,
Lorena Bettoni,LoreTest31,CSV,EIRO328,lorenatest@test.com,,01-2013,Female,Teacher,,,
Lorena Bettoni,LoreTest32,CSV,EIRO329,lorenatest@test.com,,01-2014,Female,School Admin,,,
Lorena Bettoni,LoreTest33,CSV,EIRO330,lorenatest@test.com,,01-2015,Female,Organization Admin,,,
Lorena Bettoni,LoreTest34,CSV,EIRO331,lorenatest@test.com,,01-2016,Male,Student,,,
